unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783467646,30,0,master,OutOfSync,100,24,28,0,0.0,238
1783467652,30,1,master,OutOfSync,29,27,28,0,0.2,1926
1783467654,30,2,master,Syncing,23,15,28,0,0.1,792
1783467654,30,3,viewer,OutOfSync,20,18,28,0,0.2,1748
1783467654,30,4,viewer,OutOfSync,5,10,28,0,0.3,2265
1783467654,30,5,viewer,Syncing,5,23,28,0,0.2,1767
1783467654,30,6,viewer,OutOfSync,10,21,28,0,0.3,2949
1783467656,30,7,viewer,OutOfSync,8,16,28,0,0.0,277
1783467656,30,8,viewer,Syncing,16,18,28,0,0.2,2314
1783467656,30,9,viewer,Syncing,4,1,28,0,0.2,1767
1783467656,30,10,viewer,Syncing,2,28,28,0,0.0,187
1783467656,30,11,viewer,OutOfSync,5,27,28,0,0.0,240
1783467656,30,12,viewer,OutOfSync,4,25,28,0,0.2,2686
1783467659,30,13,viewer,OutOfSync,4,18,28,0,0.0,238
1783467659,30,14,viewer,Syncing,0,17,28,0,0.2,1468
1783467659,30,15,viewer,OutOfSync,9,18,28,0,0.0,224
1783467659,30,16,viewer,OutOfSync,100,14,28,0,0.0,203
1783467659,30,17,viewer,OutOfSync,6,11,28,0,0.0,219
1783467659,30,18,viewer,Syncing,0,16,28,0,0.0,203
1783467659,30,19,viewer,OutOfSync,4,19,28,0,0.0,217
1783467659,30,20,viewer,OutOfSync,100,17,28,0,0.0,195
1783467660,30,21,viewer,OutOfSync,15,15,28,0,0.0,227
1783467660,30,22,viewer,OutOfSync,100,11,28,0,0.1,430
1783467660,30,23,viewer,Syncing,99,9,28,0,0.0,183
1783467660,30,24,viewer,Syncing,5,9,28,0,0.0,205
1783467660,30,25,viewer,Syncing,0,10,28,0,0.1,497
1783467660,30,26,viewer,Syncing,0,11,28,0,0.1,385
1783467660,30,27,viewer,Syncing,0,14,28,0,0.0,299
1783467721,81,1,master,OutOfSync,29,2,28,0,59.2,2640
1783467731,81,2,master,OutOfSync,23,19,28,0,38.9,1163
1783467731,81,3,viewer,Syncing,20,2,28,0,207.6,3789
1783467731,81,4,viewer,Syncing,6,11,28,0,82.1,3298
1783467731,81,5,viewer,Syncing,5,1,28,0,35.2,2158
1783467732,81,6,viewer,OutOfSync,19,16,28,0,52.2,3247
1783467734,81,7,viewer,OutOfSync,8,1,28,0,124.2,1102
1783467734,81,8,viewer,OutOfSync,26,14,28,0,178.1,4410
1783467734,81,9,viewer,OutOfSync,4,18,28,0,70.9,2528
1783467734,81,10,viewer,OutOfSync,5,18,28,0,18.5,257
1783467736,81,11,viewer,Syncing,6,20,28,0,98.2,1053
1783467737,81,12,viewer,OutOfSync,5,1,28,0,281.6,4739
1783467737,81,13,viewer,OutOfSync,4,5,28,0,44.6,551
1783467737,81,14,viewer,Syncing,0,14,28,0,95.7,2707
1783467737,81,15,viewer,OutOfSync,17,15,28,0,41.0,540
1783467737,81,16,viewer,OutOfSync,100,15,28,0,18.1,305
1783467737,81,17,viewer,OutOfSync,7,2,28,0,91.7,933
1783467753,81,19,viewer,Syncing,4,25,28,0,51.7,576
1783467753,81,20,viewer,OutOfSync,100,18,28,0,18.1,302
1783467768,81,22,viewer,OutOfSync,100,17,28,0,44.8,848
1783467768,81,23,viewer,OutOfSync,100,17,28,0,15.4,267
1783467783,81,25,viewer,OutOfSync,100,14,28,0,51.2,1040
1783467784,81,26,viewer,Syncing,0,4,28,0,87.7,1223
1783467784,81,27,viewer,OutOfSync,100,14,28,0,110.4,1419
1783467817,206,0,master,OutOfSync,100,14,28,0,31.2,669
1783467818,206,1,master,Syncing,29,1,28,0,25.2,488
1783467824,206,2,master,OutOfSync,23,16,28,0,43.9,643
1783467825,206,3,viewer,Syncing,20,2,28,0,96.1,1845
1783467825,206,4,viewer,Syncing,6,1,28,0,76.7,1255
1783467825,206,5,viewer,Syncing,5,1,28,0,15.6,193
1783467826,206,6,viewer,OutOfSync,19,15,28,0,103.2,1683
1783467838,206,10,viewer,OutOfSync,5,28,28,0,11.4,160
1783467864,206,12,viewer,OutOfSync,5,2,28,0,106.7,803
1783467864,206,20,viewer,OutOfSync,100,6,28,0,29.9,377
1783467864,206,22,viewer,OutOfSync,100,6,28,0,21.9,240
1783467864,206,23,viewer,OutOfSync,100,6,28,0,18.2,303
1783467895,285,0,master,OutOfSync,100,12,28,0,138.7,4227
1783467896,285,2,master,OutOfSync,23,17,28,0,207.7,5541
1783467896,285,5,viewer,Syncing,5,1,28,0,40.8,3071
1783467896,285,10,viewer,OutOfSync,5,14,28,0,45.6,941
1783467901,285,11,viewer,Syncing,6,1,28,0,604.8,8109
1783467909,285,12,viewer,OutOfSync,5,6,28,0,594.7,8669
1783467909,285,20,viewer,OutOfSync,100,6,28,0,103.5,4095
1783467909,285,22,viewer,OutOfSync,100,6,28,0,49.7,2050
1783467909,285,23,viewer,OutOfSync,100,6,28,0,47.4,1424
1783467940,330,0,master,OutOfSync,100,23,28,0,166.6,4456
1783467941,330,2,master,OutOfSync,23,6,28,0,189.2,4843
1783467941,330,5,viewer,Syncing,5,1,28,0,60.0,2254
1783467941,330,10,viewer,OutOfSync,5,20,28,0,97.1,2101
1783467941,330,11,viewer,Syncing,6,2,28,0,730.9,8498
1783467944,330,12,viewer,OutOfSync,5,5,28,0,717.1,9455
1783467944,330,20,viewer,OutOfSync,100,6,28,0,73.7,3250
1783467944,330,22,viewer,OutOfSync,100,6,28,0,101.7,1857
1783467944,330,23,viewer,OutOfSync,100,6,28,0,66.6,2267
1783467975,365,0,master,OutOfSync,100,21,28,0,121.2,2913
1783467975,365,2,master,OutOfSync,23,6,28,0,199.1,1310
1783467975,365,5,viewer,Syncing,5,1,28,0,55.1,514
1783467975,365,10,viewer,OutOfSync,5,18,28,0,85.6,1000
1783467975,365,11,viewer,Syncing,6,1,28,0,750.4,4104
1783467978,365,12,viewer,Syncing,5,1,28,0,714.0,3865
1783467978,365,20,viewer,OutOfSync,100,6,28,0,79.9,944
1783467978,365,22,viewer,OutOfSync,100,6,28,0,98.2,998
1783467978,365,23,viewer,OutOfSync,100,6,28,0,56.2,3976
1783468010,398,0,master,OutOfSync,100,21,28,0,168.7,1064
1783468010,398,2,master,OutOfSync,23,6,28,0,159.2,4057
1783468010,398,5,viewer,Syncing,5,1,28,0,72.7,279
1783468010,398,10,viewer,OutOfSync,5,20,28,0,78.3,332
1783468010,398,11,viewer,Syncing,6,2,28,0,657.4,3306
1783468014,398,12,viewer,Syncing,5,2,28,0,709.4,1973
1783468014,398,20,viewer,OutOfSync,100,6,28,0,72.9,520
1783468014,398,22,viewer,OutOfSync,100,6,28,0,102.1,294
1783468014,398,23,viewer,OutOfSync,100,6,28,0,61.9,269
1783468047,435,0,master,OutOfSync,100,14,28,0,138.5,3903
1783468047,435,2,master,OutOfSync,23,24,28,0,142.8,3063
1783468047,435,5,viewer,Syncing,5,1,28,0,47.6,1635
1783468047,435,10,viewer,OutOfSync,5,20,28,0,82.8,825
1783468047,435,11,viewer,Syncing,6,1,28,0,656.2,4783
1783468052,435,12,viewer,Syncing,5,2,28,0,758.9,3766
1783468052,435,20,viewer,OutOfSync,100,6,28,0,73.7,2395
1783468052,435,22,viewer,OutOfSync,100,6,28,0,112.4,1044
1783468052,435,23,viewer,OutOfSync,100,6,28,0,81.5,820
1783468082,472,2,master,OutOfSync,23,24,28,0,208.9,2295
1783468082,472,5,viewer,Syncing,5,1,28,0,30.3,2543
1783468082,472,10,viewer,OutOfSync,5,20,28,0,110.3,1164
1783468082,472,11,viewer,Syncing,6,1,28,0,600.8,8274
1783468098,472,20,viewer,OutOfSync,100,5,28,0,73.8,3270
1783468098,472,22,viewer,OutOfSync,100,5,28,0,117.7,2988
1783468098,472,23,viewer,OutOfSync,100,5,28,0,90.5,1047
1783468128,518,2,master,OutOfSync,23,5,28,0,276.5,2878
1783468128,518,5,viewer,Syncing,5,1,28,0,33.2,2581
1783468128,518,10,viewer,OutOfSync,5,23,28,0,83.9,4297
1783468128,518,11,viewer,Syncing,6,1,28,0,719.8,9702
1783468128,518,22,viewer,OutOfSync,100,5,28,0,149.8,970
1783468128,518,23,viewer,OutOfSync,100,5,28,0,17.5,4617
1783468158,548,2,master,OutOfSync,23,5,28,0,292.7,7875
1783468158,548,5,viewer,Syncing,7,5,28,0,165.6,2002
1783468158,548,10,viewer,OutOfSync,5,21,28,0,76.0,4102
1783468158,548,11,viewer,Syncing,6,1,28,0,1247.8,8158
1783468158,548,22,viewer,OutOfSync,100,5,28,0,169.4,7489
1783468158,548,23,viewer,OutOfSync,100,5,28,0,145.6,2306
1783468188,578,2,master,OutOfSync,23,23,28,0,341.2,11585
1783468188,578,5,viewer,OutOfSync,7,4,28,0,171.0,2310
1783468188,578,10,viewer,OutOfSync,5,22,28,0,56.5,112
1783468188,578,11,viewer,Syncing,6,1,28,0,1204.9,5660
1783468188,578,22,viewer,OutOfSync,100,5,28,0,176.6,3957
1783468188,578,23,viewer,OutOfSync,100,5,28,0,154.7,2477
1783468218,608,2,master,OutOfSync,23,6,28,0,845.4,9548
1783468218,608,5,viewer,OutOfSync,7,5,28,0,254.0,3514
1783468218,608,10,viewer,OutOfSync,5,21,28,0,36.6,84
1783468218,608,22,viewer,OutOfSync,100,5,28,0,270.6,2050
1783468218,608,23,viewer,OutOfSync,100,5,28,0,170.0,3801
1783468248,639,2,master,OutOfSync,23,6,28,0,1223.8,13701
1783468248,639,5,viewer,OutOfSync,7,5,28,0,375.2,7326
1783468248,639,10,viewer,OutOfSync,5,24,28,0,17.5,80
1783468248,639,22,viewer,OutOfSync,100,5,28,0,376.2,3347
1783468248,639,23,viewer,OutOfSync,100,5,28,0,99.2,6154
1783468278,669,2,master,OutOfSync,23,5,28,0,1035.6,17188
1783468278,669,5,viewer,OutOfSync,7,5,28,0,403.1,6559
1783468278,669,10,viewer,OutOfSync,5,15,28,0,19.5,74
1783468278,669,22,viewer,OutOfSync,100,5,28,0,219.1,8924
1783468278,669,23,viewer,OutOfSync,100,5,28,0,74.9,6946
1783468308,699,2,master,OutOfSync,23,9,28,0,571.4,5254
1783468308,699,5,viewer,OutOfSync,7,9,28,0,424.2,475
1783468309,699,10,viewer,OutOfSync,5,14,28,0,16.6,66
1783468309,699,22,viewer,OutOfSync,100,9,28,0,102.2,253
1783468309,699,23,viewer,OutOfSync,100,9,28,0,82.8,414
1783468339,729,2,master,OutOfSync,23,5,28,0,653.0,11321
1783468339,729,5,viewer,OutOfSync,7,5,28,0,383.2,10798
1783468339,729,10,viewer,OutOfSync,5,14,28,0,19.6,74
1783468339,729,22,viewer,OutOfSync,100,5,28,0,491.2,2530
1783468339,729,23,viewer,OutOfSync,100,5,28,0,87.3,5247
1783468376,759,2,master,OutOfSync,23,5,28,0,692.9,15336
1783468376,759,5,viewer,OutOfSync,7,5,28,0,487.0,13118
1783468376,759,10,viewer,OutOfSync,5,14,28,0,13.3,77
1783468376,759,22,viewer,OutOfSync,100,5,28,0,492.6,4773
1783468376,759,23,viewer,OutOfSync,100,5,28,0,90.3,10415
1783468410,799,2,master,OutOfSync,23,6,28,0,579.4,8568
1783468410,799,5,viewer,OutOfSync,7,5,28,0,461.7,4962
1783468410,799,10,viewer,OutOfSync,5,18,28,0,5.1,76
1783468410,799,22,viewer,OutOfSync,100,5,28,0,488.9,4736
1783468410,799,23,viewer,OutOfSync,100,5,28,0,91.3,7451
1783468440,831,2,master,OutOfSync,23,5,28,0,525.3,15785
1783468440,831,5,viewer,OutOfSync,7,5,28,0,503.2,7553
1783468440,831,10,viewer,OutOfSync,5,18,28,0,37.9,79
1783468440,831,22,viewer,OutOfSync,100,5,28,0,499.1,7209
1783468440,831,23,viewer,OutOfSync,100,5,28,0,96.0,11696
1783468470,861,2,master,OutOfSync,23,5,28,0,508.1,18438
1783468470,861,5,viewer,OutOfSync,7,5,28,0,481.2,4646
1783468470,861,10,viewer,OutOfSync,5,22,28,0,18.2,71
1783468470,861,22,viewer,OutOfSync,100,5,28,0,216.3,23266
1783468500,891,2,master,OutOfSync,23,3,28,0,439.5,37365
1783468500,891,10,viewer,OutOfSync,5,20,28,0,15.9,85
1783468500,891,22,viewer,OutOfSync,100,4,28,0,285.8,7887
1783468530,921,2,master,OutOfSync,23,3,28,0,479.7,30452
1783468530,921,10,viewer,OutOfSync,5,16,28,0,16.4,91
1783468530,921,22,viewer,OutOfSync,100,3,28,0,507.6,10651
1783468560,951,2,master,OutOfSync,23,3,28,0,527.7,31164
1783468560,951,10,viewer,OutOfSync,5,19,28,0,15.0,93
1783468560,951,22,viewer,OutOfSync,100,3,28,0,515.7,13667
1783468590,981,2,master,OutOfSync,23,3,28,0,527.6,28153
1783468590,981,10,viewer,OutOfSync,5,21,28,0,15.8,95
1783468590,981,22,viewer,OutOfSync,100,3,28,0,511.2,16042
1783468620,1011,2,master,OutOfSync,23,3,28,0,522.2,36045
1783468620,1011,10,viewer,OutOfSync,5,21,28,0,17.3,97
1783468620,1011,22,viewer,OutOfSync,100,3,28,0,512.2,19025
1783468651,1041,2,master,OutOfSync,23,3,28,0,522.7,17287
1783468651,1041,10,viewer,OutOfSync,5,16,28,0,25.4,79
1783468651,1041,22,viewer,OutOfSync,100,3,28,0,499.3,16937
1783468681,1071,2,master,OutOfSync,23,3,28,0,519.5,22161
1783468681,1071,10,viewer,OutOfSync,5,15,28,0,27.2,82
1783468681,1071,22,viewer,OutOfSync,100,3,28,0,480.7,19283
1783468711,1101,2,master,OutOfSync,23,3,28,0,209.7,31526
1783468711,1101,10,viewer,OutOfSync,5,12,28,0,25.3,73
1783468711,1101,22,viewer,OutOfSync,100,3,28,0,449.2,4368
1783468741,1131,2,master,OutOfSync,23,3,28,0,536.9,42355
1783468741,1131,10,viewer,OutOfSync,5,8,28,0,26.2,76
1783468741,1131,22,viewer,OutOfSync,100,3,28,0,486.9,8546
1783468771,1161,2,master,OutOfSync,23,3,28,0,521.6,30613
1783468771,1161,10,viewer,OutOfSync,5,15,28,0,14.3,72
1783468771,1161,22,viewer,OutOfSync,100,3,28,0,479.0,13181
1783468801,1191,2,master,OutOfSync,23,3,28,0,525.4,37621
1783468801,1191,10,viewer,OutOfSync,5,16,28,0,15.5,74
1783468801,1191,22,viewer,OutOfSync,100,3,28,0,468.6,13441
1783468832,1221,2,master,OutOfSync,23,3,28,0,532.1,34834
1783468832,1221,10,viewer,OutOfSync,5,17,28,0,34.6,78
1783468832,1221,22,viewer,OutOfSync,100,3,28,0,507.2,16480
1783468862,1252,2,master,OutOfSync,23,3,28,0,524.8,32722
1783468862,1252,10,viewer,OutOfSync,5,14,28,0,32.3,78
1783468862,1252,22,viewer,OutOfSync,100,3,28,0,505.3,19123
1783468892,1283,2,master,OutOfSync,23,3,28,0,518.4,25194
1783468892,1283,10,viewer,OutOfSync,5,19,28,0,52.9,77
1783468922,1313,2,master,Syncing,23,2,28,0,516.9,34765
1783468922,1313,10,viewer,OutOfSync,5,12,28,0,548.3,2544
1783468952,1343,2,master,Syncing,23,2,28,0,530.5,25888
1783468952,1343,10,viewer,OutOfSync,5,12,28,0,572.5,6555
1783468983,1374,2,master,OutOfSync,23,2,28,0,518.0,31916
1783468983,1374,10,viewer,OutOfSync,5,10,28,0,643.6,8585
1783469013,1404,2,master,OutOfSync,23,2,28,0,519.6,36975
1783469013,1404,10,viewer,OutOfSync,5,9,28,0,856.7,8950
1783469043,1434,2,master,OutOfSync,23,2,28,0,518.0,42752
1783469043,1434,10,viewer,OutOfSync,5,15,28,0,796.4,9070
1783469073,1464,10,viewer,OutOfSync,5,24,28,0,761.3,9245
1783469104,1494,10,viewer,OutOfSync,5,17,28,0,717.1,9426
1783469134,1524,10,viewer,OutOfSync,5,12,28,0,723.3,9570
1783469164,1554,10,viewer,OutOfSync,5,6,28,0,743.7,9876
1783469194,1584,10,viewer,OutOfSync,5,6,28,0,742.6,10825
1783469224,1614,10,viewer,OutOfSync,5,15,28,0,748.6,11794
1783469254,1644,10,viewer,OutOfSync,5,20,28,0,742.1,13176
1783469284,1674,10,viewer,OutOfSync,5,19,28,0,711.3,15519
1783469314,1704,10,viewer,OutOfSync,5,12,28,0,718.6,17907
1783469344,1734,10,viewer,OutOfSync,5,5,28,0,669.7,20196
1783469374,1764,10,viewer,OutOfSync,5,6,28,0,696.5,22610
1783469404,1794,10,viewer,OutOfSync,5,12,28,0,688.4,25258
1783469434,1824,10,viewer,OutOfSync,5,12,28,0,668.5,27998
1783469464,1854,10,viewer,OutOfSync,5,25,28,0,600.8,30357
1783469494,1885,10,viewer,OutOfSync,5,21,28,0,666.9,33135
1783469524,1915,10,viewer,OutOfSync,5,14,28,0,671.9,36243
1783469554,1945,10,viewer,Syncing,5,14,28,0,630.7,39604
1783469584,1975,10,viewer,Syncing,5,1,28,0,611.1,43141
1783469614,2005,10,viewer,Syncing,5,1,28,0,571.2,47322
1783469644,2035,10,viewer,Syncing,5,1,28,0,296.5,48920
1783469674,2065,10,viewer,Syncing,5,1,28,0,136.7,30029
1783469704,2095,10,viewer,Syncing,5,1,28,0,577.6,34883
1783469734,2125,10,viewer,Syncing,5,1,28,0,566.9,39517
1783469765,2155,10,viewer,Syncing,5,1,28,0,525.2,44606
1783469795,2185,10,viewer,Syncing,5,1,28,0,520.6,49559
1783469825,2215,10,viewer,Syncing,5,1,28,0,503.6,54260
