unix,elapsed_s,node,role,status,percent,online,total,retrying,cpu_pct,rss_mb
1783455606,30,0,master,Healthy,100,6,6,0,0.3,69
1783455606,30,1,master,Syncing,0,6,6,0,0.1,47
1783455606,30,2,master,Indexing,0,6,6,0,0.1,40
1783455606,30,3,viewer,Syncing,0,6,6,0,0.1,37
1783455606,30,4,viewer,Syncing,0,6,6,0,0.1,36
1783455606,30,5,viewer,Syncing,0,6,6,0,0.1,36
1783455638,60,0,master,Healthy,100,6,6,0,98.8,73
1783455638,60,1,master,Syncing,0,6,6,0,6.2,52
1783455638,60,2,master,Syncing,0,6,6,0,8.3,50
1783455638,60,3,viewer,Syncing,0,6,6,0,11.9,47
1783455638,60,4,viewer,Syncing,0,6,6,0,18.2,47
1783455638,60,5,viewer,Syncing,0,6,6,0,25.9,49
1783455668,92,0,master,Healthy,100,6,6,0,97.6,72
1783455672,92,1,master,Syncing,0,6,6,0,2.7,48
1783455672,92,2,master,Syncing,0,6,6,0,4.7,50
1783455672,92,3,viewer,Syncing,0,6,6,0,4.7,49
1783455674,92,4,viewer,Syncing,0,6,6,0,6.5,47
1783455674,92,5,viewer,Syncing,0,6,6,0,5.1,50
1783455704,127,0,master,Healthy,100,6,6,0,95.2,74
1783455705,127,1,master,Syncing,0,6,6,0,3.9,50
1783455705,127,2,master,Syncing,0,6,6,0,4.4,52
1783455705,127,3,viewer,Syncing,0,6,6,0,5.1,52
1783455705,127,4,viewer,Syncing,0,6,6,0,4.3,48
1783455705,127,5,viewer,Syncing,0,6,6,0,4.4,53
1783455735,159,0,master,Healthy,100,6,6,0,91.7,76
1783455735,159,1,master,Syncing,0,6,6,0,4.4,52
1783455735,159,2,master,Syncing,0,6,6,0,5.6,51
1783455744,159,3,viewer,Syncing,0,6,6,0,3.6,52
1783455744,159,4,viewer,Syncing,0,6,6,0,4.9,47
1783455744,159,5,viewer,Syncing,0,6,6,0,3.4,54
1783455774,198,0,master,Healthy,100,6,6,0,86.9,76
1783455774,198,1,master,Syncing,0,6,6,0,5.6,55
1783455774,198,2,master,Syncing,1,6,6,0,6.2,52
1783455774,198,3,viewer,Syncing,0,6,6,0,5.2,52
1783455774,198,4,viewer,Syncing,0,6,6,0,3.6,50
1783455774,198,5,viewer,Syncing,0,6,6,0,0.6,54
1783455805,228,0,master,Healthy,100,6,6,0,93.1,77
1783455805,228,1,master,Syncing,0,6,6,0,4.9,53
1783455806,228,2,master,Syncing,1,6,6,0,6.0,51
1783455815,228,3,viewer,Syncing,0,6,6,0,4.1,52
1783455815,228,4,viewer,Syncing,0,6,6,0,4.6,50
1783455815,228,5,viewer,Syncing,0,6,6,0,0.6,54
1783455847,268,0,master,Healthy,100,6,6,0,39.1,79
1783455847,268,1,master,Syncing,1,6,6,0,6.2,60
1783455847,268,2,master,Syncing,1,6,6,0,5.0,55
1783455847,268,3,viewer,Syncing,0,6,6,0,5.0,55
1783455847,268,4,viewer,Syncing,0,6,6,0,5.2,54
1783455847,268,5,viewer,Syncing,0,6,6,0,1.4,54
1783455877,301,0,master,Healthy,100,6,6,0,38.4,79
1783455877,301,1,master,Syncing,1,6,6,0,2.3,57
1783455884,301,2,master,Syncing,1,6,6,0,4.9,54
1783455884,301,3,viewer,Syncing,1,6,6,0,4.9,56
1783455884,301,4,viewer,Syncing,0,6,6,0,5.1,55
1783455884,301,5,viewer,Syncing,0,6,6,0,0.8,54
1783455915,338,0,master,Healthy,100,6,6,0,40.7,82
1783455915,338,1,master,Syncing,1,6,6,0,0.8,58
1783455939,338,3,viewer,Syncing,1,6,6,0,3.2,57
1783455939,338,4,viewer,Syncing,1,6,6,0,5.5,56
1783455939,338,5,viewer,Syncing,0,6,6,0,3.1,54
